%Size:	MFLOPS:		MFLOPS/Sec:

100		9.95	47.1563981042654
101		10.252005	56.95558333333334
102		10.56006	44.00025
103		10.874225	43.32360557768924
104		11.19456	50.88436363636363
105		11.521125	50.091847826086955
106		11.85398	56.18
107		12.193185	55.42356818181818
108		12.5388	50.1552
109		12.890885	49.580326923076925
110		13.2495	37.855714285714285
111		13.614705	33.125802919708036
112		13.98656	51.80207407407407
113		14.365125	51.121441281138786
114		14.75046	52.680214285714285
115		15.142625	50.307724252491695
116		15.54168	55.50599999999999
117		15.947685	56.75332740213523
118		16.3607	51.127187500000005
119		16.780785	50.69723564954683
120		17.208	52.14545454545454
121		17.642405	51.737258064516126
122		18.08406	51.66874285714286
123		18.533025	49.954245283018864
124		18.98936	28.72822995461422
125		19.453125	28.152134587554272
126		19.92438	51.088153846153844
127		20.403185	49.64278588807786
128		20.8896	48.4677494199536
129		21.383685	49.7295
130		21.8855	54.57730673316708
131		22.395105	52.08163953488372
132		22.91256	57.13855361596009
133		23.437925	55.67203087885986
134		23.97126	53.269466666666666
135		24.512625	47.96991193737769
136		25.06208	55.570022172949
137		25.619685	54.39423566878981
138		26.1855	55.71382978723405
139		26.759585	54.50017311608962
140		27.342	41.364599092284415
141		27.932805	41.6286214605067
142		28.53206	35.6205493133583
143		29.139825	35.493087697929354
144		29.75616	47.15714738510301
145		30.381125	50.55095673876872
146		31.01478	41.855303643724696
147		31.657185	50.16986529318542
148		32.3084	52.87790507364976
149		32.968485	53.08934782608696
150		33.6375	53.308240887480196
151		34.315505	51.14084202682563
152		35.00256	52.953948562783665
153		35.698725	51.66240955137483
154		36.40406	51.201209563994375
155		37.118625	50.777872777017784
156		37.84248	29.986117274167988
157		38.575685	29.628022273425497
158		39.3183	50.996498054474706
159		40.070385	51.306510883482716
160		40.832	44.286334056399134
161		41.603205	43.74679810725552
162		42.38406	35.857918781725886
163		43.174625	35.94889675270608
164		43.97496	48.27108671789243
165		44.785125	41.04961044912924
166		45.60518	41.801264894592116
167		46.435185	41.02048144876325
168		47.2752	50.77894736842105
169		48.125285	50.02628378378378
170		48.9855	48.936563436563446
171		49.855905	47.391544676806085
172		50.73656	38.968172043010746
173		51.627525	35.80272191400832
174		52.52886	34.06540856031128
175		53.440625	33.56823178391959
176		54.36288	46.78388984509466
177		55.295685	46.38899748322148
178		56.2391	35.105555555555554
179		57.193185	34.620572033898306
180		58.158	45.048799380325335
181		59.133605	45.07134527439025
182		60.12006	32.27056360708535
183		61.117425	32.80591787439614
184		62.12576	42.78633608815427
185		63.145125	42.60804655870445
186		64.17558	40.56610619469026
187		65.217185	37.203185966913864
188		66.27	28.40548649807115
189		67.334085	28.483115482233504
190		68.4095	42.43765508684863
191		69.496305	42.58352022058824
192		70.59456	34.2193698497334
193		71.704325	33.93484382394699
194		72.82566	42.02288517022504
195		73.958625	41.248535973229224
196		75.10328	43.11324913892078
197		76.259685	42.29599833610649
198		77.4279	40.90221870047543
199		78.607985	40.89905567117586
200		79.8	37.58831841733396
201		81.004005	37.277498849516796
202		82.22006	39.662354076218044
203		83.448225	37.37045454545454
204		84.68856	33.55331220285261
205		85.941125	34.198617190608836
206		87.20598	32.73497747747747
207		88.483185	32.6025
208		89.7728	36.882826622843055
209		91.074885	31.579363730929263
210		92.3895	33.669642857142854
211		93.716705	33.90618849493488
212		95.05656	39.05364009860312
213		96.409125	38.3641563867887
214		97.77446	36.84041446872645
215		99.152625	37.64336560364465
216		100.54368	38.17148063781321
217		101.947685	33.93731191744341
218		103.3647	32.55581102362205
219		104.794785	37.10863491501417
220		106.238	27.480082772891876
221		107.694405	30.551604255319152
222		109.16406	34.49101421800948
223		110.647025	36.956254175016696
224		112.14336	34.45264516129033
225		113.653125	34.927204978488014
226		115.17638	34.34000596302921
227		116.713185	33.49015351506456
228		118.2636	35.57870036101083
229		119.827685	35.399611521418024
230		121.4055	30.53458249496982
231		122.997105	30.3247300295858
232		124.60256	33.630920377867746
233		126.221925	34.71450082508251
234		127.85526	32.82548395378691
