%Size:	MFLOPS:		MFLOPS/Sec:

100		9.95	47.60765550239234
101		10.252005	55.717418478260875
102		10.56006	44.370000000000005
103		10.874225	45.49884937238494
104		11.19456	50.19982062780269
105		11.521125	49.87499999999999
106		11.85398	52.91955357142857
107		12.193185	52.55683189655172
108		12.5388	50.3566265060241
109		12.890885	49.77175675675676
110		13.2495	37.640625
111		13.614705	36.99648097826087
112		13.98656	47.57333333333334
113		14.365125	49.19563356164384
114		14.75046	51.03965397923876
115		15.142625	41.9463296398892
116		15.54168	55.11234042553192
117		15.947685	55.56684668989548
118		16.3607	51.7743670886076
119		16.780785	50.39274774774775
120		17.208	48.06703910614525
121		17.642405	49.83730225988701
122		18.08406	47.71519788918206
123		18.533025	46.21701995012468
124		18.98936	31.648933333333336
125		19.453125	36.36098130841121
126		19.92438	46.33576744186046
127		20.403185	45.74705156950672
128		20.8896	49.85584725536994
129		21.383685	48.70998861047836
130		21.8855	46.96459227467811
131		22.395105	48.79107843137255
132		22.91256	56.158235294117645
133		23.437925	55.80458333333333
134		23.97126	55.106344827586206
135		24.512625	54.23147123893805
136		25.06208	53.09762711864408
137		25.619685	54.62619402985075
138		26.1855	55.243670886075954
139		26.759585	54.72307770961145
140		27.342	41.23981900452488
141		27.932805	42.841725460122696
142		28.53206	35.13800492610837
143		29.139825	35.75438650306749
144		29.75616	50.691925042589446
145		30.381125	50.889656616415415
146		31.01478	49.30807631160572
147		31.657185	51.81208674304419
148		32.3084	53.13881578947368
149		32.968485	52.41412559618442
150		33.6375	40.971376370280154
151		34.315505	52.63114263803681
152		35.00256	51.93258160237389
153		35.698725	50.780547652916084
154		36.40406	40.44895555555556
155		37.118625	49.823657718120806
156		37.84248	27.80490815576782
157		38.575685	34.878557866184444
158		39.3183	40.36786447638604
159		40.070385	50.7862927756654
160		40.832	44.095032397408204
161		41.603205	43.20166666666667
162		42.38406	37.441749116607774
163		43.174625	35.740583609271525
164		43.97496	50.3145995423341
165		44.785125	48.156048387096774
166		45.60518	41.68663619744058
167		46.435185	41.98479656419529
168		47.2752	48.24
169		48.125285	48.95756358087487
170		48.9855	40.58450704225352
171		49.855905	41.930954583683764
172		50.73656	36.55371757925072
173		51.627525	36.7194345661451
174		52.52886	33.37284625158831
175		53.440625	34.03861464968153
176		54.36288	45.64473551637279
177		55.295685	46.0797375
178		56.2391	36.805693717277485
179		57.193185	34.28848021582734
180		58.158	44.497322111706204
181		59.133605	42.85043840579711
182		60.12006	32.94249863013699
183		61.117425	32.96516990291262
184		62.12576	40.15886231415644
185		63.145125	34.28074104234528
186		64.17558	43.01312332439678
187		65.217185	40.035104358502146
188		66.27	31.937349397590356
189		67.334085	28.531391949152546
190		68.4095	41.58632218844984
191		69.496305	36.77053174603175
192		70.59456	40.33974857142857
193		71.704325	35.14917892156863
194		72.82566	38.81964818763326
195		73.958625	37.127823795180724
196		75.10328	36.281777777777776
197		76.259685	40.34903968253969
198		77.4279	36.505374823196604
199		78.607985	38.83793725296442
200		79.8	34.21955403087479
201		81.004005	35.79496464869643
202		82.22006	35.88828459188128
203		83.448225	32.28171179883945
204		84.68856	34.05249698431845
205		85.941125	36.53959396258504
206		87.20598	31.07839629365645
207		88.483185	32.23431147540984
208		89.7728	33.966250472947415
209		91.074885	38.02709185803758
210		92.3895	34.066924778761056
211		93.716705	32.205053264604814
212		95.05656	38.46886280857952
213		96.409125	37.080432692307696
214		97.77446	38.14844323058915
215		99.152625	37.5578125
216		100.54368	37.279822024471635
217		101.947685	37.46699191473723
218		103.3647	34.54702540106952
219		104.794785	35.24883451059536
220		106.238	30.258615778980346
221		107.694405	28.558579952267305
222		109.16406	37.00476610169491
223		110.647025	37.167290896876054
224		112.14336	34.27364303178484
225		113.653125	33.97701793721973
226		115.17638	34.20741906741907
227		116.713185	34.32740735294118
228		118.2636	35.68605914302957
229		119.827685	34.803277664827185
230		121.4055	30.766725798276735
231		122.997105	29.60219133574007
232		124.60256	30.18472868217054
233		126.221925	32.801955561330566
234		127.85526	32.55799847211612
235		129.502625	30.716941413662237
236		131.16408	30.581506178596413
237		132.839685	30.081450407608695
238		134.5295	31.351549755301793
239		136.233585	29.79085611196151
240		137.952	33.1456030754445
241		139.684805	28.63567138171382
242		141.43206	31.394463928967816
243		143.193825	31.0480973547268
244		144.97016	30.66853395388195
245		146.761125	31.021163601775523
246		148.56678	30.893487211478476
247		150.387185	29.372497070312498
248		152.2224	29.77746478873239
249		154.072485	28.57957429048414
250		155.9375	31.007655597534303
251		157.817505	30.32036599423631
252		159.71256	27.98537935868232
253		161.622725	28.339948272838857
254		163.54806	30.78841490963855
255		165.488625	29.315965456155894
256		167.44448	29.762616423746888
257		169.415685	27.307492746615086
258		171.4023	28.274876278455952
259		173.404385	26.669391725622884
260		175.422	28.985789821546597
261		177.455205	28.44289229043116
262		179.50406	28.94759877439123
263		181.568625	28.383402376113803
264		183.64896	27.39802476503058
265		185.745125	28.598171670515782
266		187.85718	27.711635934503615
267		189.985185	28.112634655223438
268		192.1292	27.47057477838147
269		194.289285	28.04001804012123
270		196.4655	26.578124999999996
271		198.657905	28.011548928369997
272		200.86656	26.90057051024508
273		203.091525	27.264267015706807
274		205.33286	26.74998176133403
275		207.590625	27.271495664739884
276		209.86488	26.782143950995405
277		212.155685	27.729144556267155
278		214.4631	25.992376681614353
279		216.787185	27.469232767359347
280		219.128	26.919901719901716
281		221.485605	26.739780876494024
282		223.86006	26.56146891314665
283		226.251425	27.024776039178214
284		228.65976	26.01362457337884
285		231.085125	26.143808688765695
286		233.52758	25.485930372148857
287		235.987185	26.311426580443754
288		238.464	26.178943901635744
289		240.958085	26.62814509890596
290		243.4695	24.81850152905199
291		245.998305	24.921315469557285
292		248.54456	25.668135908292882
293		251.108325	25.88478765075765
294		253.68966	25.33349910125824
295		256.288625	26.11193326541009
296		258.90528	25.15597357170618
297		261.539685	24.877740416627034
298		264.1919	24.94023411686963
299		266.861985	25.31897390891841
300		269.55	25.29560810810811
301		272.256005	25.22056553960167
302		274.98006	25.629607605555037
303		277.722225	25.158277470785396
304		280.48256	24.99621780589965
305		283.261125	24.55240747161307
306		286.05798	24.967965435978
307		288.873185	24.894276542571525
308		291.7068	24.314978744686172
309		294.558885	23.90511970459341
310		297.4295	24.9940756302521
311		300.318705	25.14600226073851
312		303.22656	23.906225165562915
313		306.153125	24.421914885130825
314		309.09846	23.62776792539367
315		312.062625	25.34415861284821
316		315.04568	25.27036817197401
317		318.047685	24.95470262848176
318		321.0687	24.066314369237688
319		324.108785	23.835033460803057
320		327.168	24.437406632805498
321		330.246405	23.83590075784915
322		333.34406	24.066425528842682
323		336.461025	24.421936923858606
324		339.59736	23.59461960675328
325		342.753125	23.372187180361408
326		345.92838	23.36880226981017
327		349.123185	24.19593769491995
328		352.3376	23.879200271094543
329		355.571685	23.491786799682878
330		358.8255	23.888256440982623
331		362.099105	24.215816558550124
332		365.39256	23.776194690265488
333		368.705925	24.365974425059477
334		372.03926	23.740620253972306
335		375.392625	23.23117921901108
336		378.76608	23.98316216045083
337		382.159685	23.791302060636248
338		385.5735	24.11341463414634
339		389.007585	25.013347800925928
340		392.462	23.11863807728558
341		395.936805	22.734083888378503
342		399.43206	23.002134177944143
343		402.947825	22.94299521721802
344		406.48416	23.049853132974196
345		410.041125	22.7800625
346		413.61878	23.175815543228552
347		417.217185	23.891495447517606
348		420.8364	24.477194206944688
349		424.476485	23.549319556171987
350		428.1375	22.638404187817258
351		431.819505	23.55036567408377
352		435.52256	23.401351888667993
353		439.246725	22.898901313731628
354		442.99206	22.674518093873164
355		446.758625	22.270007726434375
356		450.54648	22.855297519403436
357		454.355685	22.77700446160016
358		458.1863	22.90358910272432
359		462.038385	22.839267671774593
360		465.912	22.32234572633193
361		469.807205	22.209956270978115
362		473.72406	22.346528609840085
363		477.662625	23.03542751736111
364		481.62296	23.130485063874747
365		485.605125	23.135070271557886
366		489.60918	22.569915640990178
367		493.635185	22.332391648570393
368		497.6832	22.502292354297598
369		501.753285	22.274406685607744
370		505.8455	22.22422125565661
371		509.959905	22.275800681431004
372		514.09656	22.32387685092709
373		518.255525	22.445020571676054
374		522.43686	21.889506850462983
375		526.640625	21.949761388738384
376		530.86688	21.473460076045626
377		535.115685	21.77214114248515
378		539.3871	22.11509225092251
379		543.681185	22.15218942264597
380		547.998	23.787732777705433
381		552.337605	23.403144146434478
382		556.70006	21.885444824468294
383		561.085425	22.145777747079254
384		565.49376	21.84723226703755
385		569.925125	21.76865379473664
386		574.37958	22.98345724460806
387		578.857185	22.47989067961165
388		583.358	22.580143216566672
389		587.882085	21.91300451021321
390		592.4295	22.584229185727356
391		597.000305	22.607653463096906
392		601.59456	21.89846243447874
393		606.212325	21.72181184606564
394		610.85366	22.12596566212692
395		615.518625	22.282830431162438
396		620.20728	21.813705683736636
397		624.919685	22.078066949302244
398		629.6559	21.719012797074953
399		634.415985	21.928588192596177
400		639.2	21.50740242261104
401		644.008005	21.73646567436209
402		648.84006	21.892906164591558
403		653.696225	21.712433155080216
404		658.57656	21.7610547184774
405		663.481125	21.94486753324072
406		668.40998	21.6861326325352
407		673.363185	22.157393385982232
408		678.3408	21.71732991836081
409		683.342885	21.85438419470385
410		688.3695	21.55195679398873
411		693.420705	22.230010098419516
412		698.49656	23.578738860383474
413		703.597125	21.836601129698025
414		708.72246	22.01616787300798
415		713.872625	22.25913208194319
416		719.04768	21.359543726235742
417		724.247685	21.613527261332777
418		729.4727	21.57501109106504
419		734.722785	21.598694329305935
420		739.998	22.082241651994867
421		745.298405	21.42154532651184
422		750.62406	21.30457412085261
423		755.975025	21.45949315885091
424		761.35136	21.515001554243085
425		766.753125	21.436247169336575
426		772.18038	21.28978163771712
427		777.633185	21.307353819596667
428		783.1116	22.15183299389002
429		788.615685	21.698648607748183
430		794.1455	21.22645871755807
431		799.701105	21.22461661977812
432		805.28256	21.21621245652861
433		810.889925	21.351007793780774
434		816.52326	21.358739700227577
435		822.182625	21.16300193050193
436		827.86808	21.54111365528726
437		833.579685	21.223099651195355
438		839.3175	21.190070438536694
439		845.081585	21.436801405306685
440		850.872	21.521448806151355
441		856.688805	21.323397177419356
442		862.53206	21.44641851907106
443		868.401825	21.299497804812244
444		874.29816	21.928172355847607
445		880.221125	22.793027215288205
446		886.17078	21.35196925523456
447		892.147185	21.417015195890148
448		898.1504	21.392682926829266
449		904.180485	21.28585350063562
450		910.2375	21.269716088328074
451		916.321505	21.235724333719585
452		922.43256	21.368434025203854
453		928.570725	21.36069391088312
454		934.73606	21.23145550356607
455		940.928625	21.177300195809234
456		947.14848	21.11484227656776
457		953.395685	21.242272737400295
458		959.6703	21.183371962121715
459		965.972385	21.248375200721497
460		972.302	22.28006416131989
461		978.659205	21.724326955093343
462		985.04406	21.277547467329082
463		991.456625	21.162812973596022
464		997.89696	21.3071050945894
465		1004.365125	21.196739864508366
466		1010.86118	21.343746542513884
467		1017.385185	21.265968207186305
468		1023.9372	21.38593537876731
469		1030.517285	21.213225570719857
470		1037.1255	21.249523633904975
471		1043.761905	21.06864829131427
472		1050.42656	21.250790208375484
473		1057.119525	21.053544542032625
474		1063.84086	21.77904190636068
475		1070.590625	21.284107852882705
476		1077.36888	21.68922513236567
477		1084.175685	22.425344082240517
478		1091.0111	21.412947734097465
479		1097.875185	21.358192809758187
480		1104.768	21.08376114047978
481		1111.689605	20.922771253270096
482		1118.64006	20.986437161135395
483		1125.619425	21.22969059429283
484		1132.62776	21.390514825306894
485		1139.665125	21.203466576122345
486		1146.73158	21.171862341450804
487		1153.827185	20.947445354199196
488		1160.952	21.160542432195978
489		1168.106085	21.06251618312627
490		1175.2895	21.002689469075573
491		1182.502305	20.963379396539498
492		1189.74456	21.856242491044366
493		1197.016325	20.923932404558805
494		1204.31766	21.039423839555564
495		1211.648625	20.949368483842523
496		1219.00928	21.258576261727878
497		1226.399685	20.992445952654013
498		1233.8199	21.342303367871164
499		1241.269985	21.21647696778053
500		1248.75	21.202628361858192
501		1256.260005	20.67033047584573
502		1263.80006	20.95089784821458
503		1271.370225	21.07953882247608
504		1278.97056	20.839303276685186
505		1286.601125	21.156331190186467
506		1294.26198	21.00767712509536
507		1301.953185	21.09485223350994
508		1309.6748	20.017956438670232
509		1317.426885	20.81966694585796
510		1325.2095	20.991422597456083
511		1333.022705	21.165137737766347
512		1340.86656	20.90628747836662
513		1348.741125	20.93473325986403
514		1356.64646	21.001369392241244
515		1364.582625	20.785721629855292
516		1372.54968	21.09472965911536
517		1380.547685	20.871850583575227
518		1388.5767	21.36304712380191
519		1396.636785	21.06414070041023
520		1404.728	20.97172374667821
521		1412.850405	20.87730007092827
522		1421.00406	20.976706622184167
523		1429.189025	20.82637306190254
524		1437.40536	21.55806227128202
525		1445.653125	21.134043696275075
526		1453.93238	20.956979690675585
527		1462.243185	20.945741860165302
528		1470.5856	21.053480314960634
529		1478.959685	20.958530808037864
530		1487.3655	20.95294142506973
531		1495.803105	21.044826104084304
532		1504.27256	20.869775662814416
533		1512.773925	21.401323104999573
534		1521.30726	20.953202396529164
535		1529.872625	21.07378677888589
536		1538.47008	20.858065863148905
537		1547.099685	20.89037895973426
538		1555.7615	21.216472561640845
539		1564.455585	21.00842757963152
540		1573.182	21.473662658167374
541		1581.940805	20.8449065765374
542		1590.73206	21.299787903538956
543		1599.555825	21.53558835408953
544		1608.41216	20.99288878447342
545		1617.301125	20.782322573598385
546		1626.22278	20.9870401486701
547		1635.177185	20.885889629714782
548		1644.1644	20.823805663914076
549		1653.184485	20.908124359736433
550		1662.2375	20.84127412013992
551		1671.323505	20.908270428843075
552		1680.44256	20.9874303413306
553		1689.594725	20.97182057965618
554		1698.78006	20.858771395594413
555		1707.998625	20.898829334246944
556		1717.25048	21.07469540032399
557		1726.535685	21.34371365524403
558		1735.8543	20.908113414355057
559		1745.206385	20.799790060187117
560		1754.592	20.777434367117838
561		1764.011205	20.855633645456482
562		1773.46406	20.984511968572882
563		1782.950625	20.77328903983502
564		1792.47096	20.938858244261432
565		1802.025125	20.91147126743565
566		1811.61318	20.827209684651024
567		1821.235185	20.886682703335016
568		1830.8912	20.861290947416396
569		1840.581285	20.855499864028825
570		1850.3055	20.753805170770008
571		1860.063905	20.870516415331448
572		1869.85656	21.585894902105654
573		1879.683525	21.554026293459316
574		1889.54486	20.75693009051762
575		1899.440625	20.86701189769956
576		1909.37088	20.84283992664396
577		1919.335685	20.918506043399127
578		1929.3351	20.716357603805392
579		1939.369185	20.826335466758305
580		1949.438	21.16033301855048
581		1959.541605	20.537900294515307
582		1969.68006	18.850777696960417
583		1979.853425	19.92445681708397
584		1990.06176	20.87397086126058
585		2000.305125	20.769228073636448
586		2010.58358	20.84845786930463
587		2020.897185	20.70421671379395
588		2031.246	20.814079311404857
589		2041.630085	20.91534088347983
590		2052.0495	20.782563120955245
591		2062.504305	20.801439254881394
592		2072.99456	20.790654310586916
593		2083.520325	20.709496605603984
594		2094.08166	20.728966561739025
595		2104.678625	20.787154687947535
596		2115.31128	21.09005353991565
597		2125.979685	20.911618403580384
598		2136.6839	20.93125949001283
599		2147.423985	20.710638604646675
600		2158.2	20.794511836742558
601		2169.012005	20.82244861616443
602		2179.86006	20.676291497514892
603		2190.744225	20.811903642270863
604		2201.66456	20.920217025683908
605		2212.621125	20.78124882598242
606		2223.61398	20.6951769260838
607		2234.643185	20.64316435875881
608		2245.7088	20.69567877910995
609		2256.810885	20.6408707482371
610		2267.9495	21.145593637533334
611		2279.124705	20.792087807325643
612		2290.33656	20.89608744046859
613		2301.585125	20.749956049404975
614		2312.87046	20.517812907518298
615		2324.192625	20.69683629126335
616		2335.55168	20.550750387160356
617		2346.947685	20.646483201815734
618		2358.3807	20.58300997564999
619		2369.850785	20.675717893910313
620		2381.358	20.547015479128202
621		2392.902405	21.22628161230518
622		2404.48406	20.705106862998367
623		2416.103025	20.646218083470057
624		2427.75936	20.66336451302653
625		2439.453125	20.636605405634043
626		2451.18438	20.766941279133803
627		2462.953185	20.685612895368955
628		2474.7596	20.764541625413234
629		2486.603685	20.736731505341375
630		2498.4855	20.780363959977706
631		2510.405105	20.596336781910964
632		2522.36256	20.55949790522146
633		2534.357925	20.57776814712569
634		2546.39126	20.58172226218669
635		2558.462625	20.59025419295648
636		2570.57208	21.312739030942193
637		2582.719685	21.4581108914017
638		2594.9055	20.588932351587665
639		2607.129585	20.671653293265994
640		2619.392	20.630332052170623
641		2631.692805	20.720195927911757
642		2644.03206	20.601776998597476
643		2656.409825	20.649149403396944
644		2668.82616	20.681520721614334
645		2681.281125	20.41496528068586
646		2693.77478	20.657306810426142
647		2706.307185	20.52456210136739
648		2718.8784	20.823785671614356
649		2731.488485	20.71632197463823
650		2744.1375	20.611536323759164
651		2756.825505	20.66260562430202
652		2769.55256	20.482432256537688
653		2782.318725	20.671322939419603
654		2795.12406	20.537130954217826
655		2807.968625	20.68241404328035
656		2820.85248	20.65121329477653
657		2833.775685	20.6448619438596
658		2846.7383	20.58036841306218
659		2859.740385	20.601684196497395
660		2872.782	20.647591530467036
661		2885.863205	20.80141281156746
662		2898.98406	20.611773162598567
663		2912.144625	20.494493961743636
664		2925.34496	20.96645733739473
665		2938.585125	20.824045105056157
666		2951.86518	20.928089586523736
667		2965.185185	20.824830813206262
668		2978.5452	21.356324344477986
669		2991.945285	20.937921880248574
670		3005.3855	20.947102282627636
671		3018.865905	20.873315713416492
672		3032.38656	20.867964738185847
673		3045.947525	20.919681906841937
674		3059.54886	20.93817441470542
675		3073.190625	20.85795766904893
676		3086.87288	20.801310529791508
677		3100.595685	20.743378012229552
678		3114.3591	21.111007097198403
679		3128.163185	21.040560054616506
680		3142.008	20.939042351137914
681		3155.893605	20.902726222016163
682		3169.82006	20.962477416112264
683		3183.787425	20.85391086060876
684		3197.79576	21.07876208744488
685		3211.845125	21.05368637540559
686		3225.93558	20.89363579839117
687		3240.067185	20.861935387289936
688		3254.24	20.83540348810408
689		3268.454085	20.861895851816865
690		3282.7095	20.889551754419458
691		3297.006305	20.743063984397118
692		3311.34456	20.85649853874836
693		3325.724325	20.397085078718668
694		3340.14566	20.810746724319475
695		3354.608625	20.820818437418538
696		3369.11328	20.71095559804024
697		3383.659685	20.761705312438643
698		3398.2479	20.71420325014934
699		3412.877985	20.855120992135515
700		3427.55	21.219540884552526
701		3442.264005	20.84944370415685
702		3457.02006	20.841995201003208
703		3471.818225	20.81575548001055
704		3486.65856	20.58799059957249
705		3501.541125	20.234624841805985
706		3516.46598	19.432605425598346
707		3531.433185	20.354433707787454
708		3546.4428	20.548248749934814
709		3561.494885	20.352678654086827
710		3576.5895	20.361676145582486
711		3591.726705	20.458102155896675
712		3606.90656	20.45496931958669
713		3622.129125	20.394641529937726
714		3637.39446	20.369115660734483
715		3652.702625	20.432642447194127
716		3668.05368	20.355684746778543
717		3683.447685	20.534671028058224
718		3698.8847	20.373019641106424
719		3714.364785	20.44285635267894
720		3729.888	20.434831202130106
721		3745.454405	20.456344547912284
722		3761.06406	20.446677322025607
723		3776.717025	20.442532666118172
724		3792.41336	20.638310368096825
725		3808.153125	20.419818036065696
726		3823.93638	20.366845696207253
727		3839.763185	20.36620690478211
728		3855.6336	20.446046156456813
729		3871.547685	20.25228170804432
730		3887.5055	20.475319045838315
731		3903.507105	20.367788871438187
732		3919.55256	20.94404608216133
733		3935.641925	20.481493812319155
734		3951.77526	20.458559018430318
735		3967.952625	20.3948078198163
736		3984.17408	20.41449283679367
